0.19822,0,0,0,0,0.19343,0.89542,0,0,0,0,0,0.29046,0,0,0,0.74611,0,0,0
0,0,0.72708,0,0,0,0,0.32319,0,0,0,0,0,0,0,0,0.66252,0,0.45988,0
0,0,0,0,0,0,0,0,0,0.33813,0,0.68319,0.86206,0,0,0,0,0,0,0
0.88034,0,0,0,0.54813,0.41863,0,0,0,0,0,0,0,0.4293,0,0,0.25989,0,0,0
0,0.9541,0,0,0,0,0,0.74037,0,0.55257,0.22507,0,0.99119,0,0,0.48404,0,0,0,0
0.40397,0,0.43655,0,0,0,0,0,0,0,0,0,0,0.57297,0.30385,0,0,0.11393,0,0.62659
0,0,0,0,0,0,0.40773,0.82408,0,0,0.28708,0,0.82721,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.75688,0,0.92749,0,0,0.27635,0.33781,0,0.69631,0,0.052192,0.65051
0,0.071235,0,0,0.12403,0.80511,0,0,0.60198,0,0,0.80108,0,0,0,0,0,0,0.21968,0
0,0,0,0,0,0,0.15483,0,0,0,0,0,0.47579,0,0,0,0,0,0,0
0,0.092989,0,0,0,0,0,0,0,0.6228,0,0,0,0,0,0.40235,0.89004,0,0,0
0.37661,0,0,0,0,0.49758,0.60596,0,0,0.79662,0,0,0.59944,0,0.23688,0,0,0.63021,0,0.014362
0,0,0,0.32794,0,0,0,0,0,0.74587,0,0.82645,0,0,0,0,0,0,0,0
0,0.91503,0,0.80297,0,0,0,0,0.00034146,0,0,0,0.10507,0.52159,0,0,0.11395,0,0,0
0,0,0.4889,0.99948,0.28327,0.83113,0,0,0.54088,0,0,0,0,0,0,0,0.31092,0,0,0
0.81398,0,0,0,0.13378,0,0.40637,0,0,0,0.35541,0.32904,0,0.90467,0,0.10844,0,0,0,0
0,0.030385,0,0,0.68528,0,0,0,0,0,0,0,0,0.88439,0.6437,0.036114,0,0,0,0
0,0.20847,0,0,0,0,0,0,0,0,0,0,0,0,0.8601,0,0,0,0,0
0,0,0,0,0,0.93218,0,0,0,0,0,0,0,0,0,0.56714,0,0,0,0
0,0,0,0,0,0,0.18809,0,0,0,0,0,0,0,0,0,0,0,0,0
